Epoch 001 || Loss: 0.2677 | Time(min): 20.16 |Validation Dice: 0.0000 | Testing Dice: 0.0000
Epoch 001 || Loss: 0.7110 | Time(min): 21.19 |Validation Dice: 0.2522 | Testing Dice: 0.2304
Epoch 002 || Loss: 0.3966 | Time(min): 19.72 |Validation Dice: 0.3618 | Testing Dice: 0.5673
Epoch 003 || Loss: 0.2952 | Time(min): 20.92 |Validation Dice: 0.5335 | Testing Dice: 0.6011
Epoch 004 || Loss: 0.2994 | Time(min): 20.13 |Validation Dice: 0.7462 | Testing Dice: 0.8046
Epoch 005 || Loss: 0.2472 | Time(min): 21.48 |Validation Dice: 0.7181 | Testing Dice: 0.7225
Epoch 006 || Loss: 0.2392 | Time(min): 21.49 |Validation Dice: 0.7387 | Testing Dice: 0.7441
Epoch 007 || Loss: 0.1995 | Time(min): 21.54 |Validation Dice: 0.7880 | Testing Dice: 0.7866
Epoch 008 || Loss: 0.2058 | Time(min): 21.59 |Validation Dice: 0.8189 | Testing Dice: 0.8170
Epoch 009 || Loss: 0.1645 | Time(min): 22.09 |Validation Dice: 0.7796 | Testing Dice: 0.8184
Epoch 010 || Loss: 0.1808 | Time(min): 21.97 |Validation Dice: 0.6688 | Testing Dice: 0.7201
Epoch 011 || Loss: 0.1611 | Time(min): 21.16 |Validation Dice: 0.8099 | Testing Dice: 0.7918
Epoch 012 || Loss: 0.1595 | Time(min): 19.97 |Validation Dice: 0.8339 | Testing Dice: 0.8450
Epoch 013 || Loss: 0.1511 | Time(min): 21.25 |Validation Dice: 0.7379 | Testing Dice: 0.7957
Epoch 014 || Loss: 0.1550 | Time(min): 21.03 |Validation Dice: 0.7835 | Testing Dice: 0.8310
Epoch 015 || Loss: 0.1304 | Time(min): 23.08 |Validation Dice: 0.8202 | Testing Dice: 0.8146
Epoch 016 || Loss: 0.1257 | Time(min): 21.05 |Validation Dice: 0.7283 | Testing Dice: 0.7848
Epoch 017 || Loss: 0.1636 | Time(min): 22.26 |Validation Dice: 0.7868 | Testing Dice: 0.8307
Epoch 018 || Loss: 0.1261 | Time(min): 22.55 |Validation Dice: 0.7365 | Testing Dice: 0.7768
Epoch 019 || Loss: 0.1253 | Time(min): 21.16 |Validation Dice: 0.7729 | Testing Dice: 0.8373
Epoch 020 || Loss: 0.1124 | Time(min): 20.22 |Validation Dice: 0.8256 | Testing Dice: 0.8343
Epoch 021 || Loss: 0.1215 | Time(min): 21.77 |Validation Dice: 0.8089 | Testing Dice: 0.8404
Epoch 022 || Loss: 0.1253 | Time(min): 21.22 |Validation Dice: 0.8420 | Testing Dice: 0.8490
Epoch 023 || Loss: 0.1297 | Time(min): 19.69 |Validation Dice: 0.7766 | Testing Dice: 0.8066
Epoch 024 || Loss: 0.1089 | Time(min): 19.35 |Validation Dice: 0.8228 | Testing Dice: 0.7996
Epoch 025 || Loss: 0.1142 | Time(min): 21.24 |Validation Dice: 0.8268 | Testing Dice: 0.7985
Epoch 026 || Loss: 0.0966 | Time(min): 20.31 |Validation Dice: 0.8202 | Testing Dice: 0.8587
Epoch 027 || Loss: 0.0981 | Time(min): 22.08 |Validation Dice: 0.7826 | Testing Dice: 0.7468
Epoch 028 || Loss: 0.1111 | Time(min): 21.66 |Validation Dice: 0.7469 | Testing Dice: 0.7808
Epoch 029 || Loss: 0.1013 | Time(min): 24.28 |Validation Dice: 0.8287 | Testing Dice: 0.8545
Epoch 030 || Loss: 0.0948 | Time(min): 21.36 |Validation Dice: 0.8298 | Testing Dice: 0.8718
Epoch 031 || Loss: 0.1298 | Time(min): 20.97 |Validation Dice: 0.7996 | Testing Dice: 0.8193
Epoch 032 || Loss: 0.1200 | Time(min): 20.82 |Validation Dice: 0.8050 | Testing Dice: 0.8665
Epoch 033 || Loss: 0.1168 | Time(min): 23.69 |Validation Dice: 0.7694 | Testing Dice: 0.8184
Epoch 034 || Loss: 0.1026 | Time(min): 21.99 |Validation Dice: 0.7984 | Testing Dice: 0.8476
